##Sandbox_CDDA_KeepStandBrute_tooltip::en = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::en = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::en = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::en = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::en = "",
IGUI_CDDA_AuthenticZ::en = "",
IGUI_CDDA_BanditZ::en = "",
IGUI_CDDA_BiterZ::en = "Slavering Biter",
IGUI_CDDA_BoomerZ::en = "",
IGUI_CDDA_BritaZ::en = "",
IGUI_CDDA_BruteZ::en = "Brute Z",
IGUI_CDDA_BurnerZ::en = "",
IGUI_CDDA_ChildZ::en = "Child Z",
IGUI_CDDA_CopSWATZ::en = "",
IGUI_CDDA_CopSheriffZ::en = "",
IGUI_CDDA_CopZ::en = "Cop Z",
IGUI_CDDA_CrawlerZ::en = "Crawler Z",
IGUI_CDDA_DecayedZ::en = "Decayed Z",
IGUI_CDDA_FatZ::en = "Fat Z",
IGUI_CDDA_FiremanZ::en = "Firefighter Z",
IGUI_CDDA_GrabberZ::en = "Grabber Z",
IGUI_CDDA_HazmatZ::en = "Hazmat Z",
IGUI_CDDA_HeightOffset::en = "Height Offset",
IGUI_CDDA_HeightOffset1::en = "3↑",
IGUI_CDDA_HeightOffset2::en = "2↑",
IGUI_CDDA_HeightOffset3::en = "1↑",
IGUI_CDDA_HeightOffset4::en = "0",
IGUI_CDDA_HeightOffset5::en = "1↓",
IGUI_CDDA_HeightOffset6::en = "2↓",
IGUI_CDDA_HeightOffset7::en = "3↓",
IGUI_CDDA_HeightOffset_Tooltip::en = "Set the position of Zombies' NameTag precisely",
IGUI_CDDA_HulkZ::en = "",
IGUI_CDDA_JuggernautZ::en = "",
IGUI_CDDA_ListenerZ::en = "Listener Z",
IGUI_CDDA_MasterZ::en = "Master Z",
IGUI_CDDA_NameTag::en = "Show Zombie Type",
IGUI_CDDA_NameTag_Tooltip::en = "Show the type of zombie that player is aiming at",
IGUI_CDDA_NightmareZ::en = "",
IGUI_CDDA_NormalZ::en = "Zombie",
IGUI_CDDA_ObeseZ::en = "",
IGUI_CDDA_PredatorZ::en = "",
IGUI_CDDA_RunnerZ::en = "Feral Z",
IGUI_CDDA_ScreamerZ::en = "Shrieker Z",
IGUI_CDDA_ScreecherZ::en = "Screecher Z",
IGUI_CDDA_ShockerBeastZ::en = "",
IGUI_CDDA_ShockerZ::en = "Shocker Z",
IGUI_CDDA_SkeletalJuggernautZ::en = "",
IGUI_CDDA_SkeletonRunnerZ::en = "Skeleton Feral",
IGUI_CDDA_SkeletonZ::en = "Skeleton",
IGUI_CDDA_SoldierZ::en = "Soldier Z",
IGUI_CDDA_StrongZ::en = "Tough Z",
IGUI_CDDA_SurvivorZ::en = "Survivor Z",
IGUI_CDDA_TextHeight::en = "NameTag Height",
IGUI_CDDA_TextHeight1::en = "Overhead",
IGUI_CDDA_TextHeight2::en = "On Body",
IGUI_CDDA_TextHeight3::en = "Underfoot",
IGUI_CDDA_TextHeight_Tooltip::en = "Set the height of Zombies' NameTag",
IGUI_CDDA_ToughZ::en = "",
IGUI_CDDA_UIAIM::en = "",
IGUI_CDDA_UIAIM_Tooltip::en = "",
IGUI_CDDA_UIFONT::en = "",
