##Sandbox_CDDA_KeepStandBrute_tooltip::en = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::en = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::en = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::en = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::en = "",
IGUI_CDDA_AuthenticZ::en = "",
IGUI_CDDA_BanditZ::en = "",
IGUI_CDDA_BiterZ::en = "Slavering Biter",
IGUI_CDDA_BiterZ::fr::processed::unverified = "Baveur Mordeur",
IGUI_CDDA_BoomerZ::en = "",
IGUI_CDDA_BritaZ::en = "",
IGUI_CDDA_BruteZ::en = "Brute Z",
IGUI_CDDA_BruteZ::fr::processed::unverified = "Brute Z",
IGUI_CDDA_BurnerZ::en = "",
IGUI_CDDA_ChildZ::en = "Child Z",
IGUI_CDDA_ChildZ::fr::processed::unverified = "Enfant Z",
IGUI_CDDA_CopSWATZ::en = "",
IGUI_CDDA_CopSheriffZ::en = "",
IGUI_CDDA_CopZ::en = "Cop Z",
IGUI_CDDA_CopZ::fr::processed::unverified = "Flic Z",
IGUI_CDDA_CrawlerZ::en = "Crawler Z",
IGUI_CDDA_CrawlerZ::fr::processed::unverified = "Rampeur Z",
IGUI_CDDA_DecayedZ::en = "Decayed Z",
IGUI_CDDA_DecayedZ::fr::processed::unverified = "Décomposé Z",
IGUI_CDDA_FatZ::en = "Fat Z",
IGUI_CDDA_FatZ::fr::processed::unverified = "Gros Z",
IGUI_CDDA_FiremanZ::en = "Firefighter Z",
IGUI_CDDA_FiremanZ::fr::processed::unverified = "Pompier Z",
IGUI_CDDA_GrabberZ::en = "Grabber Z",
IGUI_CDDA_GrabberZ::fr::processed::unverified = "Attrapeur Z",
IGUI_CDDA_HazmatZ::en = "Hazmat Z",
IGUI_CDDA_HazmatZ::fr::processed::unverified = "Hazmat Z",
IGUI_CDDA_HeightOffset::en = "Height Offset",
IGUI_CDDA_HeightOffset::fr::processed::unverified = "Décalage de hauteur",
IGUI_CDDA_HeightOffset1::en = "3↑",
IGUI_CDDA_HeightOffset1::fr::processed::unverified = "3↑",
IGUI_CDDA_HeightOffset2::en = "2↑",
IGUI_CDDA_HeightOffset2::fr::processed::unverified = "2↑",
IGUI_CDDA_HeightOffset3::en = "1↑",
IGUI_CDDA_HeightOffset3::fr::processed::unverified = "1↑",
IGUI_CDDA_HeightOffset4::en = "0",
IGUI_CDDA_HeightOffset4::fr::processed::unverified = "0",
IGUI_CDDA_HeightOffset5::en = "1↓",
IGUI_CDDA_HeightOffset5::fr::processed::unverified = "1↓",
IGUI_CDDA_HeightOffset6::en = "2↓",
IGUI_CDDA_HeightOffset6::fr::processed::unverified = "2↓",
IGUI_CDDA_HeightOffset7::en = "3↓",
IGUI_CDDA_HeightOffset7::fr::processed::unverified = "3↓",
IGUI_CDDA_HeightOffset_Tooltip::en = "Set the position of Zombies' NameTag precisely",
IGUI_CDDA_HeightOffset_Tooltip::fr::processed::unverified = "Régler précisément la position du NameTag des zombies",
IGUI_CDDA_HulkZ::en = "",
IGUI_CDDA_JuggernautZ::en = "",
IGUI_CDDA_ListenerZ::en = "Listener Z",
IGUI_CDDA_ListenerZ::fr::processed::unverified = "Listener Z",
IGUI_CDDA_MasterZ::en = "Master Z",
