##Sandbox_CDDA_KeepStandBrute_tooltip::en = "",
##Sandbox_CDDA_KeepStandBrute_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::en = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::en = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::en = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::en = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::ja::processed::unverified = "",
IGUI_CDDA_AuthenticZ::en = "",
IGUI_CDDA_AuthenticZ::ja::processed::unverified = "",
IGUI_CDDA_BanditZ::en = "",
IGUI_CDDA_BanditZ::ja::processed::unverified = "",
IGUI_CDDA_BiterZ::en = "Slavering Biter",
IGUI_CDDA_BiterZ::ja::processed::unverified = "スラバリングバイター",
IGUI_CDDA_BoomerZ::en = "",
IGUI_CDDA_BoomerZ::ja::processed::unverified = "",
IGUI_CDDA_BritaZ::en = "",
IGUI_CDDA_BritaZ::ja::processed::unverified = "",
IGUI_CDDA_BruteZ::en = "Brute Z",
IGUI_CDDA_BruteZ::ja::processed::unverified = "ブルート Z",
IGUI_CDDA_BurnerZ::en = "",
IGUI_CDDA_BurnerZ::ja::processed::unverified = "",
IGUI_CDDA_ChildZ::en = "Child Z",
IGUI_CDDA_ChildZ::ja::processed::unverified = "チャイルド Z",
IGUI_CDDA_CopSWATZ::en = "",
IGUI_CDDA_CopSWATZ::ja::processed::unverified = "",
IGUI_CDDA_CopSheriffZ::en = "",
IGUI_CDDA_CopSheriffZ::ja::processed::unverified = "",
IGUI_CDDA_CopZ::en = "Cop Z",
IGUI_CDDA_CopZ::ja::processed::unverified = "コップ Z",
IGUI_CDDA_CrawlerZ::en = "Crawler Z",
IGUI_CDDA_CrawlerZ::ja::processed::unverified = "クローラー Z",
IGUI_CDDA_DecayedZ::en = "Decayed Z",
IGUI_CDDA_DecayedZ::ja::processed::unverified = "デケイデッド Z",
IGUI_CDDA_FatZ::en = "Fat Z",
IGUI_CDDA_FatZ::ja::processed::unverified = "ファット Z",
IGUI_CDDA_FiremanZ::en = "Firefighter Z",
IGUI_CDDA_FiremanZ::ja::processed::unverified = "ファイアファイター Z",
IGUI_CDDA_GrabberZ::en = "Grabber Z",
IGUI_CDDA_GrabberZ::ja::processed::unverified = "グラバー Z",
IGUI_CDDA_HazmatZ::en = "Hazmat Z",
IGUI_CDDA_HazmatZ::ja::processed::unverified = "ハズマット Z",
IGUI_CDDA_HeightOffset::en = "Height Offset",
IGUI_CDDA_HeightOffset::ja::processed::unverified = "高さオフセット",
IGUI_CDDA_HeightOffset1::en = "3↑",
