##Sandbox_CDDA_KeepStandBrute_tooltip::en = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::en = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::en = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::en = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::en = "",
IGUI_CDDA_AuthenticZ::en = "",
IGUI_CDDA_BanditZ::en = "",
IGUI_CDDA_BiterZ::en = "Slavering Biter",
IGUI_CDDA_BiterZ::zh-hans::processed::unverified = "流涎啃噬者",
IGUI_CDDA_BoomerZ::en = "",
IGUI_CDDA_BritaZ::en = "",
IGUI_CDDA_BruteZ::en = "Brute Z",
IGUI_CDDA_BruteZ::zh-hans::processed::unverified = "狂暴丧尸兽",
IGUI_CDDA_BurnerZ::en = "",
IGUI_CDDA_ChildZ::en = "Child Z",
IGUI_CDDA_ChildZ::zh-hans::processed::unverified = "儿童丧尸",
IGUI_CDDA_CopSWATZ::en = "",
IGUI_CDDA_CopSheriffZ::en = "",
IGUI_CDDA_CopZ::en = "Cop Z",
IGUI_CDDA_CopZ::zh-hans::processed::unverified = "警察丧尸",
IGUI_CDDA_CrawlerZ::en = "Crawler Z",
IGUI_CDDA_CrawlerZ::zh-hans::processed::unverified = "爬行丧尸",
IGUI_CDDA_DecayedZ::en = "Decayed Z",
IGUI_CDDA_DecayedZ::zh-hans::processed::unverified = "腐朽丧尸",
IGUI_CDDA_FatZ::en = "Fat Z",
IGUI_CDDA_FatZ::zh-hans::processed::unverified = "肥胖丧尸",
IGUI_CDDA_FiremanZ::en = "Firefighter Z",
IGUI_CDDA_FiremanZ::zh-hans::processed::unverified = "消防员丧尸",
IGUI_CDDA_GrabberZ::en = "Grabber Z",
IGUI_CDDA_GrabberZ::zh-hans::processed::unverified = "抓取丧尸",
IGUI_CDDA_HazmatZ::en = "Hazmat Z",
IGUI_CDDA_HazmatZ::zh-hans::processed::unverified = "防化员丧尸",
IGUI_CDDA_HeightOffset::en = "Height Offset",
IGUI_CDDA_HeightOffset::zh-hans::processed::unverified = "显示位置偏移量",
IGUI_CDDA_HeightOffset1::en = "3↑",
IGUI_CDDA_HeightOffset1::zh-hans::processed::unverified = "3↑",
IGUI_CDDA_HeightOffset2::en = "2↑",
IGUI_CDDA_HeightOffset2::zh-hans::processed::unverified = "2↑",
IGUI_CDDA_HeightOffset3::en = "1↑",
IGUI_CDDA_HeightOffset3::zh-hans::processed::unverified = "1↑",
IGUI_CDDA_HeightOffset4::en = "0",
IGUI_CDDA_HeightOffset4::zh-hans::processed::unverified = "0",
IGUI_CDDA_HeightOffset5::en = "1↓",
IGUI_CDDA_HeightOffset5::zh-hans::processed::unverified = "1↓",
IGUI_CDDA_HeightOffset6::en = "2↓",
IGUI_CDDA_HeightOffset6::zh-hans::processed::unverified = "2↓",
IGUI_CDDA_HeightOffset7::en = "3↓",
IGUI_CDDA_HeightOffset7::zh-hans::processed::unverified = "3↓",
IGUI_CDDA_HeightOffset_Tooltip::en = "Set the position of Zombies' NameTag precisely",
IGUI_CDDA_HeightOffset_Tooltip::zh-hans::processed::unverified = "精确设置丧尸名称的显示位置",
IGUI_CDDA_HulkZ::en = "",
IGUI_CDDA_JuggernautZ::en = "",
IGUI_CDDA_ListenerZ::en = "Listener Z",
